"Source:","/home/ozgur/Desktop/DC-Soft-Starter-V4/KiCad/DC-Soft-Starter-V2.sch"
"Date:","Pzt 10 Şub 2020 00:59:43 +03"
"Tool:","Eeschema 5.1.5"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","88"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Spice_Netlist_Enabled","Spice_Primitive"
"","","A1","Arduino_Nano_v3.x","DC-Soft-Starter-V2-rescue:Arduino_Nano_v3.x-MCU_Module","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","",""
"","","C1","100nF","DC-Soft-Starter-V2-rescue:C_Small-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","C2","100nF","DC-Soft-Starter-V2-rescue:C_Small-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","C3","100nF","DC-Soft-Starter-V2-rescue:C_Small-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","C4","22uF","DC-Soft-Starter-V2-rescue:C_Small-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","C5","22uF","DC-Soft-Starter-V2-rescue:C_Small-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","C6","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:Cap_Parallel_2","~","",""
"","","C7","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:Cap_12.8","~","",""
"","","C8","100nF","DC-Soft-Starter-V2-rescue:C_Small-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","C9","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:C_Rect_L29.0mm_W14.2mm_P27.50mm_MKT","~","",""
"","","C10","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:Cap_Parallel","~","",""
"","","C11","10uF","DC-Soft-Starter-V2-rescue:C_Small-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","C12","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:C_Rect_L29.0mm_W14.2mm_P27.50mm_MKT","~","",""
"","","C13","10uF","DC-Soft-Starter-V2-rescue:C_Small-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","C14","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:Cap_Parallel","~","",""
"","","C15","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:C_Rect_L29.0mm_W14.2mm_P27.50mm_MKT","~","",""
"","","C16","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:Cap_Parallel","~","",""
"","","C17","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:Cap_18","~","",""
"","","C18","1nF","DC-Soft-Starter-V2-rescue:C_Small-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","C19","100uF","DC-Soft-Starter-V2-rescue:C_Small-Device","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","",""
"","","C20","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:C_Rect_L29.0mm_W14.2mm_P27.50mm_MKT","~","",""
"","","C21","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:Cap_Parallel_1","~","",""
"","","C22","1nF","DC-Soft-Starter-V2-rescue:C_Small-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","C23","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:C_Rect_L29.0mm_W14.2mm_P27.50mm_MKT","~","",""
"","","C24","100nF","DC-Soft-Starter-V2-rescue:C_Small-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","C25","C","DC-Soft-Starter-V2-rescue:C-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","C26","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:Cap_Parallel","~","",""
"","","C27","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:Cap_12.8","~","",""
"","","C28","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:C_Rect_L29.0mm_W14.2mm_P27.50mm_MKT","~","",""
"","","C29","10uF","DC-Soft-Starter-V2-rescue:C_Small-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","D1","LED","DC-Soft-Starter-V2-rescue:LED-Device","LED_THT:LED_D3.0mm","~","",""
"","","D2","LED","DC-Soft-Starter-V2-rescue:LED-Device","LED_THT:LED_D3.0mm","~","",""
"","","D3","LED","DC-Soft-Starter-V2-rescue:LED-Device","LED_THT:LED_D3.0mm","~","",""
"","","D4","RURG3060CC","DC-Soft-Starter-V2-rescue:DIODE-Simulation_SPICE","kicad_personal_lib:TO-247-3_Staggered_TabUp_1","/home/ozgur/Desktop/DC-Soft-Starter-V4/Components/Datasheets&Docs/RURG3060CC.pdf","Y","V"
"","","D5","1N4007","DC-Soft-Starter-V2-rescue:1N4007-Diode","Diode_SMD:D_SMA","http://www.vishay.com/docs/88503/1n4001.pdf","",""
"","","D6","18V zener","DC-Soft-Starter-V2-rescue:D_Zener-Device","Diode_SMD:D_MELF","~","",""
