Item ,Quantity,Part #,Value,Package,Price
Ceramic Cap,1,,470nF,SMD 0805,
Ceramic Cap,3,,10nF,SMD 0805,
Ceramic Cap,4,,1uF,SMD 0805,
Ceramic Cap,10,,100nF,SMD 0805,
Elect. Cap,1,,100uF/25V,Elect. 6.3,
Elect. Cap,1,,47uF/16V,Elect. 5,
Elect. Cap,3,,220uF/50V,Elect 10x10,
Resistor,9,,1kR,SMD 0805,
Resistor,1,,4.7kR,SMD 0805,
Resistor,1,,100kR,SMD 0805,
Resistor,2,,10kR,SMD 0805,
Resistor,6,,100R,SMD 0805,
Resistor,1,Shunt,0.005R,SMD 1206,
FastDiode,4,1N4148,,SOD123,
N-Mos,6,IRFZ44N,55V 49A,TO-220,
Mosfet Driver,3,IR2101,,SOIC127P6,
Controller,1,JY01A,,SOP16,
Vol. Reg.,1,78L05,5V,SOT89,
Vol. Reg.,1,,LM317,DPAK,
Header,1,,5pin,THT,
Header,1,,6pin,THT,
